Date,Northern Africa,Eastern Africa,Middle Africa,Southern Africa,Western Africa
12/11/2026,401474.984619012,13558273,3982,29179,407426
03/12/2026,45953.2881591212,14958487,8761,35311,532486
06/12/2026,37370,17455186,16123,43996,646257
09/12/2026,54780,18631344,105187,76719,852027
12/12/2026,70920,20965249,138939,160945,1315970
03/13/2026,74601,21991289,221280,252293,1605553
06/13/2026,72933,22531666,348062,380562,1967136
09/13/2026,135403,25286941,425963,446651,2489196
12/13/2026,170224,27657795,636068,476575,3282972
03/14/2026,196889,29131858,875089,493810,3698362
06/14/2026,234560,31231085,1352705,540086,4465666
09/14/2026,275961,33278927,2269027,678833,5535789
12/14/2026,338338,35648630,3279095,693517,6750090
03/15/2026,413409,36327225,3691912,786089,7503847
06/15/2026,522119,39036040,3716865,841664,8700595
09/15/2026,560204,43715784,3312368,889811,10385172
12/15/2026,703421,44467740,3016591,1009431,11845959
03/16/2026,730546,44005299,2798550,976605,12957066
06/16/2026,769827,46942745,2692196,1133887,14516650
09/16/2026,846864,48244006,3129011,1211546,16351431
12/16/2026,957042,50940291,3807879,1189965,19031334
03/17/2026,953355,53444517,4890753,1266577,19844664
06/17/2026,969876,55304559,5706953,1326705,21173326
09/17/2026,1007384,57805991,6712495,1380415,22261883
12/17/2026,983507,62068135,7453855,1330147,25393445
03/18/2026,1001206,62597957,8086303,1412890,26160145
06/18/2026,1009479,66295294,8750738,1539871,27515219
09/18/2026,997414,68316411,10115699,1686385,28354320
12/18/2026,986214,73861812,10750436,1778676,31041960
03/19/2026,955378,73370377,11590830,1834252,31341100
06/19/2026,940744,75412273,12709685,1948080,32893751
09/19/2026,994505,78107518,12949083,2093319,35065185
12/19/2026,1032984,82616478,15197488,2234816,38080441
03/20/2026,1079747,83531533,15837887,2370694,39211847
06/20/2026,1158909,87147383,16143058,2370717,42014932
09/20/2026,941647,91133822,16950336,2506757,44520598
12/20/2026,1010892,96368409,17351455,2832181,49238371
03/21/2026,999886,96914335,18510092,3008806,50838843
06/21/2026,963964,98596188,19545791,3256139,51938197
09/21/2026,1065592,103031077,20387308,3483928,54623256
12/21/2026,1110076,111041500,21175793,3767992,59559010
03/22/2026,1161290,109523833,20980308,3986639,61689156
06/22/2026,1216869,113112748,21329072,4201250,65192305
09/22/2026,1363047,113745909,21871702,4451439,67309593
12/22/2026,1424612,119039362,24521313,4675323,71356549
03/23/2026,1536505,120068884,25111597,4515878,75115636
06/23/2026,1767739,121759417,26169459,4513972,76135296
09/23/2026,2035595,129025952,26515613,3955877,80159160
12/23/2026,2378416,133069637,28395610,4985801,86420281
03/24/2026,2737184,135885873,29557792,4980172,86251711
06/24/2026,2955303,139438367,29528377,3648573,88417015
09/24/2026,3202977,144230313,30888737,3800863,92871554
12/24/2026,3423588,149409493,32122117,3974291,97335540
