Date,Clean Date,Northern Africa,Eastern Africa,Southern Africa,Western Africa,Sub-Saharan Africa,Southern Africa,Western Africa,Sub-Saharan Africa
Dec-11,12/01/11,1203,151278,126417,1458,1203,2074,20126,150075
Mar-12,03/01/12,1197,193515,161508,2270,1197,2227,26314,192318
Jun-12,06/01/12,2097,233186,191223,5226,2097,2376,32264,231089
Sep-12,09/01/12,2401,302222,239790,17715,2401,5109,37207,299821
Dec-12,12/01/12,2515,368043,269440,26692,2515,9054,60342,365529
Mar-13,03/01/13,2817,420359,295077,43206,2817,10255,69005,417543
Jun-13,06/01/13,3441,435965,305045,36357,3441,10640,80482,432524
Sep-13,09/01/13,5164,559296,389118,41712,5164,11998,111304,554132
Dec-13,12/01/13,6996,644497,442684,49428,6996,12375,133014,637501
Mar-14,03/01/14,12406,778154,470602,63683,12406,13154,218309,765748
Jun-14,06/01/14,19902,768735,501410,82708,19902,15389,149326,748833
Sep-14,09/01/14,23673,877723,539293,120563,23673,20608,173587,854050
Dec-14,12/01/14,27770,980407,593555,141428,27770,25519,192135,952637
Mar-15,03/01/15,32880,1035295,606317,144891,32880,27061,224146,1002415
Jun-15,06/01/15,47507,1136942,639324,159449,47507,30708,259954,1089435
Sep-15,09/01/15,57274,1219839,657717,190045,57274,27367,287436,1162564
Dec-15,12/01/15,62097,1305882,693424,192194,62097,27649,330518,1243785
Mar-16,03/01/16,68712,1365666,734632,176573,68712,21444,364305,1296954
Jun-16,06/01/16,73572,1483430,791941,184381,73572,26370,407167,1409858
Sep-16,09/01/16,49634,1577250,839926,205015,49634,23901,458775,1527616
Dec-16,12/01/16,63012,1701692,881949,230567,63012,25144,501020,1638680
Mar-17,03/01/17,65280,1781847,937951,225110,65280,26367,527140,1716568
Jun-17,06/01/17,62360,1904901,999963,257613,62360,27675,557290,1842540
Sep-17,09/01/17,67264,2158173,1110966,320783,67264,28712,630448,2090908
Dec-17,12/01/17,80017,2313061,1160773,356930,80017,28052,687289,2233044
Mar-18,03/01/18,66039,2426511,1249329,327037,66039,30138,753969,2360472
Jun-18,06/01/18,66144,2516700,1305620,351008,66144,34141,759787,2450556
Sep-18,09/01/18,101149,2835756,1330509,388200,101149,37139,978759,2734607
Dec-18,12/01/18,105201,3047470,1427428,404577,105201,39763,1070501,2942269
Mar-19,03/01/19,106313,3186087,1489723,494678,106313,42146,1053227,3079774
Jun-19,06/01/19,107042,3450292,1584706,558021,107042,45481,1155043,3343251
Sep-19,09/01/19,114852,3805586,1721030,606285,114852,46954,1316466,3690735
Dec-19,12/01/19,121525,4040735,1804280,654421,121525,48922,1411587,3919210
Mar-20,03/01/20,123333,4325410,1887888,689368,123333,51818,1573003,4202077
Jun-20,06/01/20,122138,4606330,1965174,723294,122138,54483,1741242,4484192
Sep-20,09/01/20,111432,4863161,2032425,722763,111432,58668,1937874,4751730
Dec-20,12/01/20,117612,5211466,2146646,761067,117612,65064,2121077,5093854
Mar-21,03/01/21,115270,5529533,2281689,828552,115270,68668,2235353,5414263
Jun-21,06/01/21,116929,5955691,2508345,908216,116929,74233,2347968,5838762
Sep-21,09/01/21,136363,6243075,2444910,1033439,136363,83541,2544822,6106712
Dec-21,12/01/21,341405,6814215,2587440,1092025,341405,88447,2704898,6472810
Mar-22,03/01/22,323476,7077818,2632778,1143152,323476,92993,2885419,6754343
Jun-22,06/01/22,334655,8284696,2686074,1160267,334655,100256,4003445,7950041
Sep-22,09/01/22,335778,7974422,2689675,1182298,335778,106903,3659769,7638644
Dec-22,12/01/22,316778,8561943,2837583,1271283,316778,111410,4024889,8245165
Mar-23,03/01/23,318669,9153987,2981294,1297472,318669,116625,4439926,8835318
Jun-23,06/01/23,321259,9736872,3208001,1400341,321259,119530,4687742,9415613
Sep-23,09/01/23,324547,12704104,3846772,1481244,324547,122749,6928792,12379557
Dec-23,12/01/23,374476,13847121,4073911,1815005,374476,128210,7455520,13472646
Mar-24,03/01/24,376656,14674322,4366463,1836934,376656,131878,7962391,14297666
Jun-24,06/01/24,379276,15484957,4764571,1984755,379276,137664,8218691,15105681
Sep-24,09/01/24,387040,16407447,5068942,2157708,387040,144840,8648916,16020406
Dec-24,12/01/24,391555,17370755,5413439,2321010,391555,152885,9091866,16979200
